ID;CATEGORIA;TITULO
001;Hinos;HINO DA UMBANDA
002;Hinos;É um hino de glória que fala
003;Hinos;HINO DO UMBANDISTA BRASILEIRO
004;Hinos;ASSOC. DOS UMBANDISTAS DE CANOAS
005;Hinos;HINO DA TURMA “FÉ, ESPERANÇA E CARIDADE”
006;Hinos;HINO DA TERREIRA DE MÃE MARIA
007;Hinos;TEMPLO DE UMBANDA PAI OXALÁ FRATERNIDADE OGUM DE RONDA
008;Oxalá;#OXALÁ
009;Oxalá;Abre a porta Oh gente
010;Oxalá;Lá vem jesus
011;Oxalá;Jesus, estrela guia
012;Oxalá;Entrei na mata virgem
013;Oxalá;Bendito e louvado seja
014;Oxalá;Saravá, saravá, saravá
015;Oxalá;Oxalá mandou,
016;Oxalá;Eu faço a Zambi minha oração,
017;Oxalá;Um novo dia vai nascer
018;Oxalá;Foi Zambi que criou o mundo
019;Iemanjá;#Iemanjá
020;Iemanjá;Joga flores no mar | bis
021;Iemanjá;Pescador pegou veleiro e foi
022;Iemanjá;Óh Iemanja, óh Iemanja
023;Iemanjá;No murmúrio das ondas
024;Iemanjá;Navio negreiro no meio do mar
025;Iemanjá;Foi na areia, foi na areia
026;Iemanjá;Mãe Sereia tem o seu manto de ouro
027;Iemanjá;Sentada em cima de uma pedra
028;Iemanjá;Eram duas ventarolas, duas ventarolas
029;Iemanjá;Dia 8 de Dezembro dia de festa no mar
030;Iemanjá;Estava na beira da praia
031;Iemanjá;Jandira, Jandira
032;Iemanjá;Iara
033;Iemanjá;Iara, Iara tem pena de nós tem dó
034;Iemanjá;Quem quer viver sobre a terra
035;Iemanjá;Atraca Atraca quem vem na onda é Nanã
036;Iemanjá;És nossa mãe Óh Iemanjá
037;Iemanjá;A Iemanjá não é uma sereia
038;Iemanjá;Joga flores no mar
039;Iemanjá;Salve Iemanjá, salve Oxum e Nanã
040;Iemanjá;Saravá sereia linda
041;Iemanjá;Maria nossa mãe extremosa
042;Iemanjá;Oh Iemanjá, Oh Iemanjá
043;Iemanjá;'
044;Iemanjá;Oh Virgem Maria
045;Iemanjá;Iemanjá é a rainha do mar
046;Iemanjá;Eu fiz um pedido a sublime Iemanjá
047;Iemanjá;Eu vi sentada na areia
048;Iemanjá;Desce oh mãe do teu reino dourado
049;Iemanjá;Sete Ondas
050;Iemanjá;Ele é do mar, ele é caboclo flecheiro
051;Iemanjá;Galera está no mar, ai vamos todos remar
052;Iemanjá;Quando a lua surgir
053;Iemanjá;Saravá Oxalá e Iemanjá
054;Iemanjá;Do manto de Nossa Senhora
055;Iemanjá;Descarrega, descarrega
056;Iemanjá;Baixai, baixai,
057;Iemanjá;E a marola lá do mar
058;Iemanjá;Marinheiro
059;Iemanjá;Cabocla das Sete Ondas
060;Iemanjá;Abiguá
061;Iemanjá;Tarimá
062;Oxum;OXUM
063;Oxum;Mamãe Oxum mamãe Oxum lá do infinito
064;Oxum;candura
065;Oxum;Mamãe Oxum salve a sua cachoeira
066;Oxum;Eu vi mamãe Oxum na cachoeira
067;Oxum;Junco-Verde
068;Oxum;A lua vem surgindo
069;Oxum;Coração de mãe
070;Oxóssi;#Oxóssi
071;Oxóssi;Na minha aldeia eu sou caboclo
072;Oxóssi;Que bombardeio que se deu lá na aldeia
073;Oxóssi;Caboclo roxo, da pele morena
074;Oxóssi;Foi Zambi quem criou o mundo
075;Oxóssi;Atira, atira
076;Oxóssi;A mata estava escura
077;Oxóssi;Um diadema lá no céu brilhou
078;Oxóssi;Eu estava na mata virgem
079;Oxóssi;Daodé
080;Oxóssi;Eu vi os caboclos de Oxóssi
081;Oxóssi;Eu vou pedir licença pra Oxóssi
082;Oxóssi;Araguassú
083;Oxóssi;Araguassú que vem de aruanda
084;Oxóssi;Arranca Toco
085;Oxóssi;Lá na mata é só caboclo
086;Oxóssi;Caboclo Arranca-Toco
087;Oxóssi;Ubirajara
088;Oxóssi;Em cima de uma pedra branca
089;Oxóssi;Pena Branca
090;Oxóssi;Como é lindo o romper do dia
091;Oxóssi;O senhor pena branca, E ô
092;Oxóssi;Caboclo Aimoré
093;Oxóssi;Pena Verde
094;Oxóssi;Corre, corre meu veado
095;Oxóssi;Águia Branca
096;Oxóssi;Sete Encruzilhadas
097;Oxóssi;Caboclo Arruda
098;Oxóssi;Sete-Flechas
099;Oxóssi;Paranga
100;Oxóssi;Salve a falange do Caboclo Sete Flechas
101;Oxóssi;Atrás daquela serra tem sete coqueiros
102;Oxóssi;Tupayba
103;Oxóssi;Tupinambá
104;Oxóssi;Tupinambá, Tupinambá
105;Oxóssi;Os filhos de umbanda
106;Oxóssi;Lá na mata tem guiné
107;Oxóssi;Tupimirim
108;Oxóssi;Ele vem montado
109;Oxóssi;Tupimirim, êh, êh Tupinambá
110;Oxóssi;Urubatã
111;Oxóssi;Ubiratã
112;Oxóssi;Jurema
113;Oxóssi;Jurema, Oh Jurema, Jurema
114;Oxóssi;Entrei na mata virgem
115;Oxóssi;Quem não conhece a linda cabocla Jurema
116;Oxóssi;Jurema do juremeiro
117;Oxóssi;Jurema do juremeiro
118;Oxóssi;Ai Jureminha, ai Jurema
119;Oxóssi;Ai Jureminha, ai Jurema
120;Oxóssi;Jurema, sua flecha brilhou Jurema
121;Oxóssi;Como são lindos os cabelos de Jurema
122;Oxóssi;É tão bonita a cabocla Jurema
123;Oxóssi;Eu vim da mata virgem
124;Oxóssi;Quem é de Aruanda, não é de aruê
125;Oxóssi;A lua veio iluminou a mata virgem
126;Oxóssi;Jurema é flecheira
127;Oxóssi;Companheiros de Jurema
128;Oxóssi;O vento está soprando nas matas
129;Oxóssi;A mata estava tão linda
130;Oxóssi;Eh Juremê, Eh Jurema
131;Oxóssi;Eu me perdi mamãe
132;Oxóssi;arrebol
133;Oxóssi;Eu vou chamar a corrente de Jurema
134;Oxóssi;Na mata eu vi o sabiá cantar
135;Oxóssi;Caboclo Arari
136;Oxóssi;Caboclo Ararijara
137;Oxóssi;Caboclo Flecheiro
138;Xangô;XANGÔ
139;Xangô;Meu pai Xangô é rei lá na pedreira
140;Xangô;Xangô do fogo
141;Xangô;Cachoeira da mata virgem
142;Xangô;Pedra rolou pai Xangô
143;Xangô;Por de trás daquela serra
144;Xangô;Quem rola pedra na pedreira
145;Xangô;Kaô, kaô Xangô
146;Xangô;Supremo da Montanha
147;Xangô;Ribombo
148;Xangô;Kaô Cabecilê
149;Xangô;Ele bradou na aldeia
150;Xangô;Sua machada é de ouro
151;Xangô;Corisco
152;Xangô;Cariri
153;Xangô;Kenguelê, kenguelê Xangô
154;Xangô;Kaô Cabecilê
155;Xangô;minou
156;Xangô;Bambaruê
157;Xangô;Eu fui lá na mata buscar minha guia
158;Xangô;Bate, bate no tambor
159;Xangô;Xangô ô, Xangô ô
160;Xangô;A lua vem nascendo no horizonte
161;Xangô;Sao Miguel Arcanjo
162;Xangô;Quero andar de valor em valor
163;Xangô;Xangô e Oxóssi
164;Xangô;Xangô e Ogum
165;Xangô;Treme Terra
166;Xangô;Em cima de uma pedra branca
167;Xangô;Quando a lua surgir
168;Xangô;Caboclo do Vento
169;Xangô;Caboclo do Vento vem descendo da pedreira
170;Xangô;Caboclo Ventania
171;Xangô;Eu estava na pedreira
172;Xangô;Veado no campo é corredor
173;Xangô;Caboclo do Sol e da Lua
174;Xangô;Xangô, Xangô
175;Xangô;Caboclo Serra Negra
176;Xangô;Caboclo da Pedra
177;Xangô;Caboclo Girassol
178;Iansã;Iansã
179;Iansã;Ponto de chegada da cabocla dirigente do C.E. Jandira
180;Iansã;Iansã é uma moça bonita
181;Iansã;Saravá Iansã
182;Iansã;bonanza
183;Iansã;jacutá
184;Iansã;O ronco da pedreira
185;Iansã;A trovoada trovejou lá na pedreira
186;Ogum;#OGUM
187;Ogum;Oh! Meu São Jorge
188;Ogum;Eu vi os soldados de Ogum
189;Ogum;Xangô rolou a pedra na pedreira
190;Ogum;São Jorge Guerreiro mandou me chamar
191;Ogum;Quem é a aquele lindo cavalheiro?
192;Ogum;Quem me dera Ogum
193;Ogum;Ai vem Ogum em seu cavalo
194;Ogum;Ogum é guerreiro de umbanda
195;Ogum;Ogum olha sua bandeira
196;Ogum;Ele é filho do major Heitor
197;Ogum;Eu tenho sete espadas pra me defender
198;Ogum;Clarão da lua, clareou as matas
199;Ogum;Por entre matas, por entre mares,
200;Ogum;Salve São Jorge Guerreiro
201;Ogum;Na minha porta bateu
202;Ogum;Quatro santos nesta sala
203;Ogum;altaneiro
204;Ogum;Estão batendo na porta
205;Ogum;Ogum cavaleiro da lua
206;Ogum;São Jorge é quem está de ronda
207;Ogum;Zélio Fernandino de Moraes
208;Ogum;Capitão do mato mandou me chamar
209;Ogum;Ogum meu pai
210;Ogum;Saravá, saravá São Jorge
211;Ogum;Tem festa do terreiro
212;Ogum;Ogum de lei, Ogum Megê, Ogum Iara
213;Ogum;Ô Ô Ogum
214;Ogum;O seu cavalo corre
215;Ogum;Zélio Fernandino de Moraes
216;Ogum;Ai o meu pai é o maior na espada
217;Ogum;Levanta a bandeira de Ogum
218;Ogum;Vence demanda, ele tocou clarim
219;Ogum;Ogum é São Jorge guerreiro
220;Ogum;Nagô
221;Ogum;Oh Jorge, Oh Jorge
222;Ogum;Ogum Beira Mar
223;Ogum;Eu vi uma luzinha tão longe
224;Ogum;A sua corrente é tão forte
225;Ogum;Ogum que abalou as estrelas
226;Ogum;Ogum quando chega no reino
227;Ogum;Como é linda a coroa de Iemanjá
228;Ogum;Oh seu Ogum Beira Mar
229;Ogum;São Jorge, São Jorge
230;Ogum;Ele é Ogum, ele vem do mar
231;Ogum;Que cavaleiro é aquele
232;Ogum;Olha que lindo barquinho
233;Ogum;Em seu cavalo branco
234;Ogum;Ogum Iara
235;Ogum;Ogum vencedor de demanda
236;Ogum;Se meu pai é Ogum
237;Ogum;Ogum Megê e Ogum Iara
238;Ogum;Seu capacete é de ouro
239;Ogum;Ogum Rompe Mato
240;Ogum;Cruza flechas e lanças
241;Ogum;Ogum da Mata
242;Ogum;Ogum das Matas
243;Ogum;CACOBLO OGUM DA MATA VIRGEM
244;Ogum;Ogum Megê
245;Ogum;Qual o Ogum que bebe
246;Ogum;Todo o homem que fuma e bebe
247;Ogum;Ogum Naruê
248;Ogum;Ogum da Lua
249;Ogum;Ogum da Lua, ori babá orixá
250;Ogum;Ogum meu pai me disse
251;Ogum;Ogum de Ronda
252;Ogum;Oxóssi assoviou lá no Humaitá
253;Ogum;Ogum da Cachoeira
254;Ogum;Ogum Timbiri
255;Ogum;Ogum das Sete Ondas
256;Cosme;COSME E DAMIÃO
257;Cosme;Papai mandou as criancinhas
258;Cosme;Cosme e Damião
259;Cosme;Fui no jardim colher as rosas
260;Cosme;Na aruandê, na aruandê, na aruanda
261;Cosme;Vai, vai, vai Doum
262;Cosme;Damião cadê Doum, ô Damião?
263;Cosme;Eu era criança e tinha esperança
264;Cosme;27 de setembro, dia de festa e procissão
265;Cosme;De lá do céu de lá do céu
266;Cosme;Doum, hoje é teu dia
267;Cosme;São Cosme e São Damião
268;Cosme;Bahia é terra de dois
269;Cosme;Salve Doum, São Cosme e São Damião
270;Cosme;Cosme e Damião, dois dois dois
271;Cosme;Oi Cosme, oi Cosme, oi Cosme
272;Cosme;Enfeitei meu jardim de rosas brancas
273;Cosme;São Cosme e São Damião sua santa já chegou
274;Cosme;Cosme e damião, doum
275;Oriente;POVO DO ORIENTE
276;Oriente;São João batista vem chegando
277;Oriente;Oh João batista, enviado de Jesus
278;Oriente;Zarthur
279;Oriente;Nasceu mais uma estrela
280;Oriente;Brilhou um clarão no céu
281;Oriente;Uma luz nasceu e clareou
282;Oriente;Ori do Oriente
283;Oriente;Vovó Faustina
284;Oriente;Pai Francisco
285;Pretos Velhos;PRETOS VELHOS
286;Pretos Velhos;Nego Juca
287;Pretos Velhos;Pai Bastião
288;Pretos Velhos;A estrela clareou o céu
289;Pretos Velhos;Umbanda tem fundamento
290;Pretos Velhos;Lá no alto da serra
291;Pretos Velhos;Repenica
292;Pretos Velhos;Preto velho pequenino
293;Pretos Velhos;Preto-Velho senta no toco
294;Pretos Velhos;Oi saravá os pretos velhos agora
295;Pretos Velhos;Xangô, Xangô
296;Pretos Velhos;Pai João e Mãe Maria
297;Pretos Velhos;Quê-querê quê quê
298;Pretos Velhos;Vovó não quer casca de côco no terreiro
299;Pretos Velhos;Eu vi no céu uma estrela correndo
300;Pretos Velhos;Mãe Preta
301;Pretos Velhos;Pele castigada, carapinha branca
302;Pretos Velhos;Pai Cipriano
303;Pretos Velhos;Pai José
304;Pretos Velhos;Pai José vem cá
305;Pretos Velhos;Mãe Maria cadê Pai José
306;Pretos Velhos;Salve Deus e os caboclos de Aruanda
307;Pretos Velhos;Quem quiser ver, que veja, auê
308;Pretos Velhos;Embala ê babá, embala ê
309;Pretos Velhos;Pai Jorge
310;Pretos Velhos;Pai Sebastião
311;Pretos Velhos;Rei Congo
312;Pretos Velhos;Ponto 312
313;Pretos Velhos;Pinto piou lá em Angola
314;Pretos Velhos;Ele é Rei Congo
315;Pretos Velhos;Pai Joaquim
316;Pretos Velhos;Pai Joaquim lá de angola
317;Pretos Velhos;Pai Joaquim já vem
318;Pretos Velhos;Quem quiser ver, que veja
319;Pretos Velhos;Pai João
320;Pretos Velhos;Pai João de Aruanda
321;Pretos Velhos;Vovó Rita
322;Pretos Velhos;Tia Maria
323;Pretos Velhos;Onde é que Tia Maria mora?
324;Pretos Velhos;Maria Conga
325;Pretos Velhos;Eu vou chamar a corrente do cipó
326;Pretos Velhos;A escravatura terminou
327;Pretos Velhos;Tumbeiro tumbeiro lembrança da escravidão
328;Pretos Velhos;Maria Conga é tão linda
329;Pretos Velhos;Maria Macambira
330;Pretos Velhos;Maria da Serra
331;Pretos Velhos;Maria Tomé
332;Pretos Velhos;Pai Miguel
333;Pretos Velhos;Ouvi o rufar dos tambores
334;Pretos Velhos;Pai Domingos
335;Pretos Velhos;Pai Domingos, cadê Pai Domingos
336;Pretos Velhos;Pai Tião
337;Pretos Velhos;Pai Jerônimo
338;Pretos Velhos;Lá do céu desceu uma estrela
339;Pretos Velhos;Foi a fé em Oxalá que nos uniu
340;Pretos Velhos;Estava na Aruanda
341;Pretos Velhos;NEGA MINA
342;Pretos Velhos;Preta-Velha
343;Pretos Velhos;Tem mironga no conguê
344;Pretos Velhos;Oh Preta-Velha você não engana
345;Pretos Velhos;Tio Antonio
346;Pretos Velhos;Baiana
347;Pretos Velhos;A baiana chegou da Bahia
348;Pretos Velhos;Povo de Congo
349;Pretos Velhos;Pai Belarmino
350;Pretos Velhos;Mãe Maria da Estrada
351;Pretos Velhos;Pai Bento
352;Pretos Velhos;Pai Bento, Pai Bento
353;Pretos Velhos;A fumaça do cachimbo do Pai Bento
354;Pretos Velhos;Pai Benedito
355;Pretos Velhos;Benedito, Pai Benedito
356;Pretos Velhos;Aí vem chegando Mãe Maria Benedita
357;Pretos Velhos;Pai Jobim
358;Pretos Velhos;Pai Tomé
359;Pretos Velhos;Cachimba
360;Pretos Velhos;Minha cachimba tá no toco
361;Outros;DIVERSOS
362;Oxalá;Defumação
363;Oxóssi;Corre ronda Pai Ogum
364;Oxóssi;Defuma com as ervas da Jurema
365;Oxóssi;Olorum
366;Oxóssi;Ponto de Partida
367;Oxóssi;Vamos embora não fica ninguém
368;Oxalá;Saudação aos guias
369;Pretos Velhos;Quem vem, quem vem lá de tão longe
370;Oxalá;Deus vos salve a casa santa
371;Oxum;Tambor, tambor
372;Oxum;CHAMADA DE CABOCLOS
373;Oxóssi;HINO DO TEMPLO LUZ NO CAMINHO
374;Oxalá;HINO DA TURMA CACIQUE TREME-TERRA
375;Oxalá;Abertura dos caminhos
376;Pretos Velhos;Abertura
377;Oxalá;Jesus, Maria, São João e São José
378;Oxalá;Deus que salve os nossos guias
379;Oxalá;Encerramento
380;Pretos Velhos;Santo Antônio do mundo novo
381;Pretos Velhos;Santo Antonio de Pemba
382;Pretos Velhos;Pontos de Retirada
383;Pretos Velhos;Ele vai, ele vai
384;Oxóssi;MACÁIA
385;Pretos Velhos;Lá na Aruanda, estão lhe chamando
386;Pretos Velhos;Lá na Aruanda, estão lhe chamando
387;Oxalá;Caboclo pega suas armas
388;Oxóssi;Caboclo trabalhou
389;Oxalá;Os Pretos Velhos vão embora
390;Oxalá;Caboclos já trabalharam
391;Oxóssi;Caboclo já vai
392;Oxalá;Natal na Umbanda
393;Oxalá;Coroação de Cacique
394;Oxalá;Antigo Hino de Natal da Umbanda
395;Oxalá;Reforço
396;Oxalá;Consagração
397;Oxalá;Pedido e agradecimento especial por saúde espiritual
398;Oxalá;Advertência
399;Oxalá;Exaltação
400;Oxalá;Aniversário
401;Oxalá;Hino dos Orixás
402;Oxalá;Ponto da Amizade
